"","season","player","fotmob_id","team","pos","height","weight","age","foot","minutes","accurate_long_balls","accurate_passes","acted_as_sweeper","aerials_won","aerials_won_%","aerials_won_comp","assists","blocked_scoring_attempt","chances_created","chances_created_comp","clean_sheet_comp","clean_sheets","cross_accuracy","defensive_actions_comp","dispossessed","dribbled_past","dribbles","dribbles_success_rate","duels_won","duels_won_%","error_led_to_goal","fouls_won","goals","goals_comp","goals_conceded","goals_conceded_comp","goals_prevented","high_claims","interceptions","keeper_high_claim_comp","keeper_sweeper_actions_comp","long_ball_accuracy","long_ball_succeeeded_accuracy_comp","pass_accuracy","penalties_awarded","penalties_conceded","penalty_goals","penalty_goals_conceded","penalty_goals_faced","penalty_goals_saves","possession_won_final_3rd","recoveries","save_percentage","save_percentage_comp","saves","shot_attempts_comp","shots","shots_on_target","successful_crosses","tackles_won","tackles_won_%","touches","touches_comp","touches_in_opposition_box","xa","xg","xg_excl._penalty","xgot"
"106",2023,"Dejan Kulusevski",935379,"Tottenham Hotspur","Right Winger","186 cm","75","23","Left",1313,0.411271896420411,28.7890327494288,NA,0.205635948210206,30,0.0583942010998726,0.0685453160700685,0.95963442498096,2.12490479817212,0.737226009368896,NA,NA,23.5294117647059,0.755473971366882,1.98781416603199,1.71363290175171,1.78217821782178,42.6229508196721,4.45544554455446,34.7593582887701,NA,0.822543792840823,0.274181264280274,0.240876004099846,NA,NA,NA,NA,0.616907844630617,NA,NA,60,NA,82.3529411764706,NA,NA,NA,NA,NA,NA,0.822543792840823,4.38690022848439,NA,NA,NA,0.339415997266769,1.85072353389185,0.685453160700685,0.548362528560548,0.891089108910891,54.1666666666667,53.8080731150038,0.49270099401474,8.97943640517898,0.195779261113303,0.145590256300939,0.145590256300939,0.181521708422368
"107",2023,"Bryan Gil",970692,"Tottenham Hotspur","Left Winger","175 cm","60","22","Left",138,NA,44.3478260869565,NA,NA,NA,0.193431004881859,0,NA,1.30434782608696,0.0912408977746964,NA,NA,33.3333333333333,0.828467011451721,0.652173913043478,0.652173913043478,1.95652173913043,60,3.26086956521739,41.6666666666667,NA,1.30434782608696,0,0.127737000584602,NA,NA,NA,NA,0.652173913043478,NA,NA,NA,NA,86.0759493670886,NA,NA,NA,NA,NA,NA,1.95652173913043,5.8695652173913,NA,NA,NA,0.145985007286072,0.652173913043478,0.652173913043478,0.652173913043478,NA,NA,67.8260869565217,0.627736985683441,5.21739130434783,0.0456895841204602,0.0596086940039759,0.0596086940039759,0.0251739140114059
"108",2023,"Brennan Johnson",1076756,"Tottenham Hotspur","Right Winger","186 cm","73","22","Right",719,0.500695410292072,20.0278164116829,NA,0.375521557719054,42.8571428571429,0.313868999481201,0.250347705146036,0.62586926286509,1.12656467315716,0.273723006248474,NA,NA,25,0.248174995183945,0.375521557719054,0.876216968011127,0.62586926286509,29.4117647058824,4.00556328233658,52.4590163934426,NA,2.00278164116829,0.125173852573018,0.525547027587891,NA,NA,NA,NA,0.250347705146036,NA,NA,44.4444444444444,NA,78.4313725490196,NA,NA,NA,NA,NA,NA,0.751043115438109,4.88178025034771,NA,NA,NA,0.452555000782013,2.25312934631433,1.00139082058414,0.375521557719054,0.62586926286509,62.5,39.5549374130737,0.00364963989704847,6.2586926286509,0.130957411459656,0.305536867680238,0.305536867680238,0.321934617776035
"109",2023,"Alejo Veliz",1250658,"Tottenham Hotspur","Striker","187 cm","77","20","Right",16,NA,NA,NA,NA,NA,0.921568989753723,NA,NA,NA,0.0784313976764679,NA,NA,NA,0.637255012989044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715686023235321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80392199754715,NA,NA,NA,NA,NA,NA,0.191175997257233,NA,NA,NA,NA,NA
"110",2023,"Andre Onana",611491,"Manchester United","Keeper","190 cm","82","27","Right",1350,4.33333333333333,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.875,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.2,0.720588028430939,0.00207718460648148,0.6,NA,0.308824002742767,0.0441175997257233,31.8627450980392,0.0955881997942924,72.0388349514563,NA,NA,NA,0.133333333333333,0.133333333333333,0,NA,NA,75.6756756756757,0.0661764964461327,3.73333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2023,"Jonny Evans",43248,"Manchester United","Center Back","188 cm","79","35","Both",450,1.2,50.2,NA,2.6,61.9047619047619,0.494082987308502,0.2,NA,0.6,0.650888025760651,NA,NA,NA,0.304733991622925,0.2,0.6,NA,NA,4.4,55,NA,1,0,0.772189021110535,NA,NA,NA,NA,0.6,NA,NA,33.3333333333333,NA,86.551724137931,NA,NA,NA,NA,NA,NA,0.2,7,NA,NA,NA,0.0887574031949043,0.2,NA,NA,0.4,50,68.4,0.502959012985229,0.4,0.0363173574209213,0.0805199980735779,0.0805199980735779,0.132620000839233
"112",2023,"Raphaël Varane",230982,"Manchester United","Center Back","191 cm","79","30","Right",341,1.58357771260997,64.1348973607038,NA,2.11143695014663,100,0.462907999753952,0,NA,0.263929618768328,0.166171997785568,NA,NA,NA,0.0771512985229492,0.527859237536657,0.527859237536657,0.263929618768328,100,3.6950146627566,70,NA,NA,0.263929618768328,0.454005986452103,NA,NA,NA,NA,0.263929618768328,NA,NA,50,NA,92.3954372623574,NA,NA,NA,NA,NA,NA,0.263929618768328,8.44574780058651,NA,NA,NA,0.436201989650726,1.31964809384164,0.527859237536657,NA,1.05571847507331,80,81.2903225806452,0.474777013063431,1.8475073313783,0.036683428235068,0.297686186703769,0.297686186703769,0.210853374598663
"113",2023,"Harry Maguire",255610,"Manchester United","Center Back","194 cm","100","30","Right",746,5.79088471849866,50.1876675603217,NA,3.73994638069705,68.8888888888889,0.967359006404877,0.120643431635389,0.241286863270777,0.241286863270777,0.379821985960007,NA,NA,33.3333333333333,0.353116005659103,0,0.482573726541555,NA,NA,5.18766756032172,57.3333333333333,NA,0.603217158176944,0,0.400593012571335,NA,NA,NA,NA,1.0857908847185,NA,NA,57.8313253012048,NA,82.8685258964143,NA,NA,NA,NA,NA,NA,0.241286863270777,4.22252010723861,NA,NA,NA,0.836794972419739,0.603217158176944,NA,0.120643431635389,0.482573726541555,57.1428571428571,72.7479892761394,0.884272992610931,1.44772117962466,0.0329364516620022,0.0553029503962949,0.0553029503962949,NA
"114",2023,"Victor Nilsson Lindelöf",258269,"Manchester United","Center Back","187 cm","80","29","Right",901,2.0976692563818,60.7325194228635,NA,0.99889012208657,35.7142857142857,0.540058970451355,0.099889012208657,NA,0.599334073251942,0.798219978809357,NA,NA,NA,0.175073996186256,0.299667036625971,0.499445061043285,0.099889012208657,100,2.39733629300777,43.6363636363636,NA,0.199778024417314,0.099889012208657,0.359050005674362,NA,NA,NA,NA,0.799112097669256,NA,NA,53.8461538461538,NA,90.4761904761905,NA,NA,NA,NA,NA,NA,0.299667036625971,4.8945615982242,NA,NA,NA,0.121661998331547,0.299667036625971,0.099889012208657,NA,0.599334073251942,54.5454545454545,78.3129855715871,0.721068024635315,0.899001109877913,0.0314478647298739,0.0241132078901115,0.0241132078901115,0.00671254138107702
"115",2023,"Luke Shaw",362694,"Manchester United","Left Back","185 cm","75","28","Left",436,1.03211009174312,40.4587155963303,NA,1.03211009174312,83.3333333333333,0.832727015018463,0,NA,2.06422018348624,0.774545013904572,NA,NA,37.5,0.738182008266449,0.206422018348624,0.412844036697248,0.619266055045872,75,2.88990825688073,60.8695652173913,NA,0.206422018348624,0,0.410908997058868,NA,NA,NA,NA,0.412844036697248,NA,NA,35.7142857142857,NA,86.3436123348018,NA,NA,NA,NA,NA,NA,0.412844036697248,4.74770642201835,NA,NA,NA,0.254545003175735,0.412844036697248,NA,1.23853211009174,0.825688073394495,80,67.5,0.87272697687149,1.23853211009174,0.134017446992594,0.0102591741864288,0.0102591741864288,NA
